English	Engelsk [sound:Engelsk.mp3]
understand	forstår [sound:forstår.mp3]
you understand	du forstår [sound:du_forstår.mp3]
you	du [sound:du.mp3]
you understand English	du forstår Engelsk [sound:du_forstår_Engelsk.mp3]
do you understand?	forstår du [sound:forstår_du.mp3]
excuse me	unnskyld [sound:unnskyld.mp3]
do you understand English?	forstår du Engelsk? [sound:forstår_du_Engelsk.mp3]
no	nej [sound:nej.mp3]
I	Jeg [sound:Jeg.mp3]
I understand	Jeg forstår [sound:Jeg_forstår.mp3]
I understand English	Jeg forstår Engelsk [sound:Jeg_forstår_Engelsk.mp3]
I don't understand	Jeg forstår ikke [sound:Jeg_forstår_ikke.mp3]
don't	ikke [sound:ikke.mp3]
don't understand	forstår ikke [sound:forstår_ikke.mp3]
I don't understand English	Jeg forstår ikke Engelsk [sound:Jeg_forstår_ikke_Engelsk.mp3]
Norwegian	norsk [sound:norsk.mp3]
I understand Norwegian	Jeg forstår norsk [sound:Jeg_forstår_norsk.mp3]
I don't understand Norwegian	Jeg forstår ikke norsk [sound:Jeg_forstår_ikke_norsk.mp3]
you understand Norwegian	du forstår norsk [sound:du_forstår_norsk.mp3]
do you understand Norwegian?	forstår du norsk? [sound:forstår_du_norsk.mp3]
a litle	litt [sound:litt.mp3]
I understand a little	Jeg forstår litt [sound:Jeg_forstår_litt.mp3]
I understand a little Norwegian	Jeg forstår litt norsk [sound:Jeg_forstår_litt_norsk.mp3]
American	Amerikansk [sound:Amerikansk.mp3]
you are	du er [sound:du_er.mp3]
are	er [sound:er.mp3]
you are American	du er Amerikansk [sound:du_er_Amerikansk.mp3]
are you?	er du? [sound:er_du.mp3]
are you American?	er du Amerikansk? [sound:er_du_Amerikansk.mp3]
yes	ja [sound:ja.mp3]
no, I don't understand	nej, jag förstår ikke [sound:nej,_jag_förstår_ikke.mp3]
no, I don't understand English	nej, jag förstår ikke Engelsk [sound:nej,_jag_förstår_ikke_Engelsk.mp3]
